조회년도,항만명,입출항구분,Measures,합계
2017,광양,입항,국적선,8716398
2017,광양,입항,외국선,149340839
2017,광양,입항,연안선,14138244
2017,광양,출항,국적선,9023408
2017,광양,출항,외국선,55165291
2017,광양,출항,연안선,18974134
2017,광양,입항환적,국적선,746453
2017,광양,입항환적,외국선,16307062
2017,광양,입항환적,연안선,1073510
2017,광양,출항환적,국적선,779587
2017,광양,출항환적,외국선,17452181
2017,광양,출항환적,연안선,562338
2018,광양,입항,국적선,5996771
2018,광양,입항,외국선,154009398
2018,광양,입항,연안선,13386654
2018,광양,출항,국적선,10035344
2018,광양,출항,외국선,57215925
2018,광양,출항,연안선,20206265
2018,광양,입항환적,국적선,733232
2018,광양,입항환적,외국선,19710626
2018,광양,입항환적,연안선,199520
2018,광양,출항환적,국적선,559498
2018,광양,출항환적,외국선,19871009
2018,광양,출항환적,연안선,2281
2019,광양,입항,국적선,5644575
2019,광양,입항,외국선,155572365
2019,광양,입항,연안선,13620335
2019,광양,출항,국적선,10456310
2019,광양,출항,외국선,58807501
2019,광양,출항,연안선,20049981
2019,광양,입항환적,국적선,1033192
2019,광양,입항환적,외국선,21180283
2019,광양,입항환적,연안선,159497
2019,광양,출항환적,국적선,949495
2019,광양,출항환적,외국선,22229896
2019,광양,출항환적,연안선,3849
2020,광양,입항,국적선,6535657
2020,광양,입항,외국선,144928425
2020,광양,입항,연안선,12871060
2020,광양,출항,국적선,8864245
2020,광양,출항,외국선,51186808
2020,광양,출항,연안선,18404823
2020,광양,입항환적,국적선,663070
2020,광양,입항환적,외국선,14450777
2020,광양,입항환적,연안선,165944
2020,광양,출항환적,국적선,1002647
2020,광양,출항환적,외국선,14243215
2020,광양,출항환적,연안선,4793
2021,광양,입항,국적선,4869542
2021,광양,입항,외국선,153702608
2021,광양,입항,연안선,13608688
2021,광양,출항,국적선,10235035
2021,광양,출항,외국선,55554116
2021,광양,출항,연안선,18556538
2021,광양,입항환적,국적선,1084185
2021,광양,입항환적,외국선,16191879
2021,광양,입항환적,연안선,174272
2021,광양,출항환적,국적선,1920590
2021,광양,출항환적,외국선,16243792
2021,광양,출항환적,연안선,3251
