조회년도,조회월,항만명,입출항구분,Measures,합계,육 류,어패류.갑각류 등,양 곡,제분공업 생산품,기타동.식물성 생산품,동.식물성 유지류,당 류,조제식품.음료.주류등,시멘트,모 래,무연탄,유연탄,철광석,기타광석 및 생산품,원유(역청유). 석유,석유 정제품,석유가스 및 기타가스,비 료,화학공업 생산품,플라스틱.고무및 제품,피혁류 및 그제품,원 목,목재.목탄.코르크 등,방직용섬유 및 그제품,고 철,철강 및 그제품,비철금속 및 그제품,기계류 및 그부품,전기기기 및 그부품,차량 및 그부품,항공기.선박 및 부품,기 타
2017,1,부산,입항,국적선,920459,354.0,6943.0,0.0,0.0,32124.0,314.0,454.0,7113.0,0.0,176.0,0.0,0.0,0.0,3375.0,0.0,13519.0,0.0,185.0,29829.0,13687.0,1255.0,84.0,3399.0,329669.0,395.0,74549.0,11935.0,178715.0,128640.0,7417.0,3645.0,72683.0
2017,1,부산,입항,외국선,4906600,117053.0,83217.0,97497.0,18384.0,336026.0,137877.0,10151.0,338155.0,913.0,2319.0,0.0,0.0,123.0,71156.0,0.0,28868.0,901.0,10230.0,260561.0,194138.0,13228.0,26769.0,181123.0,974037.0,23684.0,480113.0,235133.0,270098.0,377342.0,91775.0,28920.0,496809.0
2017,1,부산,입항,수출입계,5827059,117407.0,90160.0,97497.0,18384.0,368150.0,138191.0,10605.0,345268.0,913.0,2495.0,0.0,0.0,123.0,74531.0,0.0,42387.0,901.0,10415.0,290390.0,207825.0,14483.0,26853.0,184522.0,1303706.0,24079.0,554662.0,247068.0,448813.0,505982.0,99192.0,32565.0,569492.0
2017,1,부산,입항,연안선,983620,0.0,0.0,0.0,0.0,31632.0,0.0,0.0,0.0,201691.0,103796.0,0.0,0.0,0.0,4000.0,0.0,558248.0,477.0,0.0,0.0,0.0,0.0,0.0,10.0,20046.0,0.0,48426.0,0.0,0.0,0.0,15293.0,0.0,1.0
2017,1,부산,입항,총계,6810679,117407.0,90160.0,97497.0,18384.0,399782.0,138191.0,10605.0,345268.0,202604.0,106291.0,0.0,0.0,123.0,78531.0,0.0,600635.0,1378.0,10415.0,290390.0,207825.0,14483.0,26853.0,184532.0,1323752.0,24079.0,603088.0,247068.0,448813.0,505982.0,114485.0,32565.0,569493.0
2017,1,부산,출항,국적선,658876,0.0,5804.0,231.0,262.0,7362.0,301.0,2144.0,30601.0,84.0,24.0,0.0,17.0,0.0,2136.0,0.0,3914.0,2923.0,2509.0,31368.0,56931.0,1179.0,0.0,1225.0,217762.0,3045.0,55254.0,16877.0,64257.0,20586.0,18848.0,371.0,112861.0
2017,1,부산,출항,외국선,6229192,1720.0,17219.0,709.0,1592.0,56569.0,4898.0,6160.0,134903.0,1424.0,720.0,0.0,0.0,18.0,12353.0,166.0,22219.0,6925.0,7805.0,408512.0,836925.0,11328.0,249.0,20090.0,1482462.0,25074.0,381639.0,194374.0,664030.0,366909.0,829312.0,6899.0,725989.0
2017,1,부산,출항,수출입계,6888068,1720.0,23023.0,940.0,1854.0,63931.0,5199.0,8304.0,165504.0,1508.0,744.0,0.0,17.0,18.0,14489.0,166.0,26133.0,9848.0,10314.0,439880.0,893856.0,12507.0,249.0,21315.0,1700224.0,28119.0,436893.0,211251.0,728287.0,387495.0,848160.0,7270.0,838850.0
2017,1,부산,출항,연안선,182752,0.0,0.0,0.0,0.0,66738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,63709.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,150.0,8640.0,0.0,0.0,0.0,41402.0,0.0,0.0
2017,1,부산,출항,총계,7070820,1720.0,23023.0,940.0,1854.0,130669.0,5199.0,8304.0,165504.0,1508.0,744.0,0.0,17.0,18.0,16489.0,166.0,89842.0,9848.0,10314.0,439880.0,893856.0,12507.0,249.0,21315.0,1700337.0,28269.0,445533.0,211251.0,728287.0,387495.0,889562.0,7270.0,838850.0
